date,year,month,ano,uncert,abs,mov_average
1750-01-15,1750,1,-0.49,3.24,2.1100000000000003,
1750-02-15,1750,2,-1.029,3.62,2.1710000000000003,
1750-03-15,1750,3,0.211,3.079,5.501,
1750-04-15,1750,4,-0.166,1.671,8.113999999999999,
1750-05-15,1750,5,-1.589,2.514,9.681,
1750-06-15,1750,6,-1.05,1.078,12.37,
1750-07-15,1750,7,-0.158,2.715,14.142000000000001,
1750-08-15,1750,8,0.197,1.623,14.036999999999999,
1750-09-15,1750,9,-1.084,1.448,10.966000000000001,
1750-10-15,1750,10,-2.136,2.254,7.074000000000001,
1750-11-15,1750,11,-4.391,2.056,1.689,
1750-12-15,1750,12,-2.943,3.46,0.6869999999999998,7.3785
1751-01-15,1751,1,-1.428,3.302,1.1720000000000002,7.300333333333334
1751-02-15,1751,2,-2.789,3.167,0.41100000000000003,7.153666666666666
1751-03-15,1751,3,0.275,2.357,5.565,7.159
1751-04-15,1751,4,-1.324,1.982,6.9559999999999995,7.0625
1751-05-15,1751,5,-0.89,2.3415,10.379999999999999,7.12075
1751-06-15,1751,6,-1.422,2.701,11.998,7.0897499999999996
1751-07-15,1751,7,1.071,2.129,15.371,7.192166666666666
1751-08-15,1751,8,-0.246,1.557,13.594,7.15525
1751-09-15,1751,9,-1.317,1.535,10.733,7.135833333333333
1751-10-15,1751,10,-2.666,4.377,6.5440000000000005,7.091666666666668
1751-11-15,1751,11,-3.033,2.309,3.047,7.204833333333333
1751-12-15,1751,12,-1.95,2.907,1.68,7.287583333333333
1752-01-15,1752,1,-3.155,2.959,-0.5549999999999997,7.143666666666667
1752-02-15,1752,2,2.211,4.24,5.411,7.560333333333333
1752-03-15,1752,3,0.267,2.454,5.557,7.559666666666668
1752-04-15,1752,4,-1.457,1.899,6.8229999999999995,7.548583333333333
1752-05-15,1752,5,-0.023,1.329,11.247,7.620833333333334
1752-06-15,1752,6,0.281,1.381,13.701,7.76275
1752-07-15,1752,7,0.856,1.495,15.156,7.744833333333333
1752-08-15,1752,8,-0.975,1.388,12.865,7.684083333333334
1752-09-15,1752,9,-1.1885,1.572,10.336500000000001,7.651041666666667
1752-10-15,1752,10,-1.402,1.756,7.808000000000001,7.756374999999999
1752-11-15,1752,11,-0.019,2.318,6.061,8.007541666666667
1752-12-15,1752,12,-1.009,3.505,2.621,8.085958333333334
1753-01-15,1753,1,-0.658,3.516,1.9420000000000002,8.294041666666667
1753-02-15,1753,2,-1.267,3.31,1.9330000000000003,8.004208333333333
1753-03-15,1753,3,0.83,3.756,6.12,8.051125
1753-04-15,1753,4,-0.905,1.908,7.374999999999999,8.097125
1753-05-15,1753,5,-0.14,2.847,11.129999999999999,8.087375
1753-06-15,1753,6,-0.457,1.925,12.963,8.025875
1753-07-15,1753,7,-0.275,1.712,14.025,7.931625
1753-08-15,1753,8,-1.289,4.148,12.551,7.905458333333335
1753-09-15,1753,9,-1.53,2.31,10.520000000000001,7.920749999999999
1753-10-15,1753,10,-0.63,3.985,8.58,7.985083333333333
1753-11-15,1753,11,-1.199,2.132,4.881,7.886749999999999
1753-12-15,1753,12,-3.925,6.081,-0.29499999999999993,7.64375
1754-01-15,1754,1,-0.453,3.842,2.1470000000000002,7.660833333333334
1754-02-15,1754,2,-2.714,4.189,0.4860000000000002,7.54025
1754-03-15,1754,3,-1.297,4.493,3.9930000000000003,7.3629999999999995
1754-04-15,1754,4,3.255,4.032,11.535,7.709666666666666
1754-05-15,1754,5,0.584,2.089,11.854,7.77
1754-06-15,1754,6,-0.076,2.979,13.344,7.801750000000001
1754-07-15,1754,7,0.158,1.558,14.458,7.837833333333333
1754-08-15,1754,8,-1.662,3.439,12.178,7.80675
1754-09-15,1754,9,-1.873,2.065,10.177000000000001,7.778166666666667
1754-10-15,1754,10,-0.035,1.858,9.175,7.827750000000001
1754-11-15,1754,11,-0.248,3.007,5.832,7.907
1754-12-15,1754,12,-0.174,2.265,3.456,8.219583333333334
1755-01-15,1755,1,-0.795,4.509,1.8050000000000002,8.191083333333333
1755-02-15,1755,2,-2.197,3.776,1.0030000000000001,8.234166666666667
1755-03-15,1755,3,-1.704,2.853,3.5860000000000003,8.20025
1755-04-15,1755,4,-0.037,1.713,8.242999999999999,7.925916666666667
1755-05-15,1755,5,0.346,1.384,11.616,7.906083333333334
1755-06-15,1755,6,0.413,1.503,13.833,7.946833333333333
1755-07-15,1755,7,0.434,1.775,14.734,7.969833333333334
1755-08-15,1755,8,-1.661,1.208,12.179,7.969916666666666
1755-09-15,1755,9,-1.622,1.794,10.428,7.990833333333334
1755-10-15,1755,10,1.739,2.306,10.949000000000002,8.138666666666667
1755-11-15,1755,11,-1.121,5.798,4.959,8.065916666666668
1755-12-15,1755,12,-2.161,3.291,1.4689999999999999,7.900333333333333
