date,year,month,north_ano,north_abs,north_uncert,mov_avrg_north,south_ano,south_abs,south_uncert,mov_avrg_south
1840-01-15,1840,1,0.447,-1.613,1.333,,,,,
1840-02-15,1840,2,-0.821,-0.861,1.1,,,,,
1840-03-15,1840,3,-1.05,3.5200000000000005,1.503,,,,,
1840-04-15,1840,4,-0.455,9.895,0.622,,,,,
1840-05-15,1840,5,-0.002,15.738,0.829,,,,,
1840-06-15,1840,6,-0.079,19.591,0.632,,,,,
1840-07-15,1840,7,0.233,21.553,0.668,,,,,
1840-08-15,1840,8,-0.721,19.489,0.905,,,,,
1840-09-15,1840,9,-1.003,15.626999999999999,0.68,,,,,
1840-10-15,1840,10,-1.83,9.16,0.73,,,,,
1840-11-15,1840,11,-1.871,2.6489999999999996,0.949,,,,,
1840-12-15,1840,12,-1.712,-2.092,1.101,9.388,,,,
1841-01-15,1841,1,-1.713,-3.773,1.399,9.208,,,,
1841-02-15,1841,2,-0.444,-0.484,1.459,9.239416666666667,,,,
1841-03-15,1841,3,-1.891,2.6790000000000003,0.916,9.169333333333332,,,,
1841-04-15,1841,4,-1.642,8.708,1.306,9.070416666666667,,,,
1841-05-15,1841,5,-0.503,15.237,0.548,9.028666666666666,,,,
1841-06-15,1841,6,-0.426,19.244000000000003,0.728,8.99975,,,,
1841-07-15,1841,7,0.114,21.434,0.706,8.989833333333335,,,,
1841-08-15,1841,8,-0.212,19.998,0.627,9.03225,,,,
1841-09-15,1841,9,-1.139,15.491,0.662,9.020916666666666,,,,
1841-10-15,1841,10,-0.639,10.351,0.8,9.120166666666668,,,,
1841-11-15,1841,11,-1.353,3.167,0.836,9.163333333333334,,,,
1841-12-15,1841,12,-1.028,-1.408,1.425,9.220333333333334,,,,
1842-01-15,1842,1,-0.674,-2.734,1.477,9.306916666666668,,,,
1842-02-15,1842,2,-0.098,-0.138,1.064,9.33575,,,,
1842-03-15,1842,3,0.655,5.2250000000000005,0.906,9.547916666666667,,,,
1842-04-15,1842,4,-0.14,10.209999999999999,0.728,9.673083333333333,,,,
1842-05-15,1842,5,-0.681,15.059000000000001,0.621,9.65825,,,,
1842-06-15,1842,6,-0.864,18.806,1.084,9.62175,,,,
1842-07-15,1842,7,-0.809,20.511,0.751,9.544833333333333,,,,
1842-08-15,1842,8,-0.618,19.592000000000002,0.646,9.511000000000001,,,,
1842-09-15,1842,9,-1.065,15.565,0.725,9.517166666666668,,,,
1842-10-15,1842,10,-0.937,10.053,0.618,9.492333333333333,,,,
1842-11-15,1842,11,-1.106,3.4139999999999997,0.933,9.512916666666667,,,,
1842-12-15,1842,12,0.208,-0.17200000000000001,1.026,9.615916666666667,,,,
1843-01-15,1843,1,0.795,-1.2650000000000001,1.017,9.738333333333335,,,,
1843-02-15,1843,2,0.986,0.946,1.014,9.828666666666667,,,,
1843-03-15,1843,3,-0.339,4.231,0.828,9.745833333333334,,,,
1843-04-15,1843,4,-0.576,9.774,0.589,9.7095,,,,
1843-05-15,1843,5,-1.333,14.407,0.768,9.655166666666666,,,,
1843-06-15,1843,6,-1.039,18.631,0.525,9.640583333333334,,,,
1843-07-15,1843,7,-0.535,20.785,0.508,9.663416666666668,,,,
1843-08-15,1843,8,-0.662,19.548000000000002,0.548,9.65975,,,,
1843-09-15,1843,9,-0.855,15.774999999999999,0.583,9.677249999999999,,,,
1843-10-15,1843,10,-0.628,10.362,0.628,9.703,,,,
1843-11-15,1843,11,-1.081,3.4389999999999996,0.783,9.705083333333333,,,,
1843-12-15,1843,12,0.269,-0.11099999999999999,1.348,9.710166666666666,,,,
1844-01-15,1844,1,-0.462,-2.5220000000000002,1.172,9.605416666666665,,,,
1844-02-15,1844,2,-0.89,-0.93,0.862,9.449083333333332,,,,
1844-03-15,1844,3,-0.421,4.149,0.902,9.44225,,,,
1844-04-15,1844,4,-0.977,9.373,0.806,9.408833333333334,,,,
1844-05-15,1844,5,-1.124,14.616,0.562,9.426250000000001,,,,
1844-06-15,1844,6,-0.688,18.982000000000003,0.503,9.4555,,,,
1844-07-15,1844,7,-0.582,20.738,0.472,9.451583333333334,,,,
1844-08-15,1844,8,-0.869,19.341,0.601,9.434333333333333,,,,
1844-09-15,1844,9,-1.143,15.486999999999998,0.583,9.410333333333334,,,,
1844-10-15,1844,10,-0.669,10.321,0.541,9.406916666666667,,,,
1844-11-15,1844,11,-1.658,2.8619999999999997,0.673,9.358833333333333,,,,
1844-12-15,1844,12,-1.865,-2.245,0.963,9.181,,,,
1845-01-15,1845,1,0.146,-1.9140000000000001,1.213,9.231666666666666,,,,
1845-02-15,1845,2,-1.554,-1.594,1.337,9.176333333333334,,,,
1845-03-15,1845,3,-0.732,3.838,0.723,9.150416666666667,,,,
1845-04-15,1845,4,-0.276,10.074,0.727,9.208833333333333,,,,
1845-05-15,1845,5,-0.82,14.92,0.59,9.234166666666667,,,,
1845-06-15,1845,6,-0.641,19.029000000000003,0.508,9.238083333333334,,,,
1845-07-15,1845,7,-0.167,21.153,0.621,9.272666666666666,,,,
1845-08-15,1845,8,-0.376,19.834,0.593,9.31375,,,,
1845-09-15,1845,9,-0.87,15.76,1.067,9.3365,,,,
1845-10-15,1845,10,-1.601,9.389,0.883,9.258833333333333,,,,
1845-11-15,1845,11,-0.854,3.6659999999999995,0.821,9.325833333333334,,,,
